('Wszyscy', 'Plytki przygotowane do gry')
('Gracz1', 'Remove tile in cell 124')
('Gracz1', 'Remove tile in cell 125')
('Gracz1', 'Remove tile in cell 126')
('Gracz1', 'Remove tile in cell 127')
('Gracz1', 'Remove tile in cell 128')
('Gracz1', 'Remove tile in cell 129')
('Gracz1', 'Remove tile in cell 20')
('Gracz1', 'Remove tile in cell 21')
('Gracz1', 'Remove tile in cell 22')
('Gracz1', 'Remove tile in cell 23')
('Gracz1', 'Remove tile in cell 24')
('Gracz1', 'Remove tile in cell 25')
('Gracz1', 'Remove tile in cell 26')
('Gracz1', 'Remove tile in cell 27')
('Gracz1', 'Remove tile in cell 28')
('Gracz1', 'Remove tile in cell 29')
('Gracz1', 'Remove tile in cell 210')
('Gracz1', 'Remove tile in cell 211')
('Gracz1', 'Remove tile in cell 212')
('Gracz1', 'Remove tile in cell 213')
('Gracz1', 'Remove tile in cell 214')
('Gracz1', 'Remove tile in cell 215')
('Gracz1', 'Remove tile in cell 216')
('Gracz1', 'Remove tile in cell 217')
('Gracz1', 'Remove tile in cell 218')
('Gracz1', 'Remove tile in cell 219')
('Gracz1', 'Remove tile in cell 220')
('Gracz1', 'Remove tile in cell 221')
('Gracz1', 'Remove tile in cell 222')
('Gracz1', 'Remove tile in cell 223')
('Gracz1', 'Remove tile in cell 224')
('Gracz1', 'Remove tile in cell 225')
('Gracz1', 'Remove tile in cell 226')
('Gracz1', 'Remove tile in cell 227')
('Gracz1', 'Remove tile in cell 228')
('Gracz1', 'Remove tile in cell 229')
('Gracz1', 'Remove tile in cell 30')
('Gracz1', 'Remove tile in cell 31')
('Gracz1', 'Remove tile in cell 32')
('Gracz1', 'Remove tile in cell 33')
('Gracz1', 'Remove tile in cell 34')
('Gracz1', 'Remove tile in cell 35')
('Gracz1', 'Remove tile in cell 36')
('Gracz1', 'Remove tile in cell 37')
('Gracz1', 'Remove tile in cell 38')
('Gracz1', 'Remove tile in cell 39')
('Gracz1', 'Remove tile in cell 310')
('Gracz1', 'Remove tile in cell 311')
('Gracz1', 'Remove tile in cell 312')
('Gracz1', 'Remove tile in cell 313')
('Gracz1', 'Remove tile in cell 314')
('Gracz1', 'Remove tile in cell 315')
('Gracz1', 'Remove tile in cell 316')
('Gracz1', 'Remove tile in cell 317')
('Gracz1', 'Remove tile in cell 318')
('Gracz1', 'Remove tile in cell 319')
('Gracz1', 'Remove tile in cell 320')
('Gracz1', 'Remove tile in cell 321')
('Gracz1', 'Remove tile in cell 322')
('Gracz1', 'Remove tile in cell 323')
('Gracz1', 'Remove tile in cell 324')
('Gracz1', 'Remove tile in cell 325')
('Gracz1', 'Remove tile in cell 326')
('Gracz1', 'Remove tile in cell 327')
('Gracz1', 'Remove tile in cell 328')
('Gracz1', 'Remove tile in cell 329')
('Gracz1', 'Remove tile in cell 40')
('Gracz1', 'Remove tile in cell 41')
('Gracz1', 'Remove tile in cell 42')
('Gracz1', 'Remove tile in cell 43')
('Gracz1', 'Remove tile in cell 44')
('Gracz1', 'Remove tile in cell 45')
('Gracz1', 'Remove tile in cell 46')
('Gracz1', 'Remove tile in cell 47')
('Gracz1', 'Remove tile in cell 48')
('Gracz1', 'Remove tile in cell 49')
('Gracz1', 'Remove tile in cell 410')
('Gracz1', 'Remove tile in cell 411')
('Gracz1', 'Remove tile in cell 412')
('Gracz1', 'Remove tile in cell 413')
('Gracz1', 'Remove tile in cell 414')
('Gracz1', 'Remove tile in cell 415')
('Gracz1', 'Remove tile in cell 416')
('Gracz1', 'Remove tile in cell 417')
('Gracz1', 'Remove tile in cell 418')
('Gracz1', 'Remove tile in cell 419')
('Gracz1', 'Remove tile in cell 420')
('Gracz1', 'Remove tile in cell 421')
('Gracz1', 'Remove tile in cell 422')
('Gracz1', 'Remove tile in cell 423')
('Gracz1', 'Remove tile in cell 424')
('Gracz1', 'Remove tile in cell 425')
('Gracz1', 'Remove tile in cell 426')
('Gracz1', 'Remove tile in cell 427')
('Gracz1', 'Remove tile in cell 428')
('Gracz1', 'Remove tile in cell 429')
('Gracz1', 'Remove tile in cell 50')
('Gracz1', 'Remove tile in cell 51')
('Gracz1', 'Remove tile in cell 52')
('Gracz1', 'Remove tile in cell 53')
('Gracz1', 'Remove tile in cell 54')
('Gracz1', 'Remove tile in cell 55')
('Gracz1', 'Remove tile in cell 56')
('Gracz1', 'Remove tile in cell 57')
('Gracz1', 'Remove tile in cell 58')
('Gracz1', 'Remove tile in cell 59')
('Gracz1', 'Remove tile in cell 510')
('Gracz1', 'Remove tile in cell 511')
('Gracz1', 'Remove tile in cell 512')
('Gracz1', 'Remove tile in cell 513')
('Gracz1', 'Remove tile in cell 514')
('Gracz1', 'Remove tile in cell 515')
('Gracz1', 'Remove tile in cell 516')
('Gracz1', 'Remove tile in cell 517')
('Gracz1', 'Remove tile in cell 518')
('Gracz1', 'Remove tile in cell 519')
('Gracz1', 'Remove tile in cell 520')
('Gracz1', 'Remove tile in cell 521')
('Gracz1', 'Remove tile in cell 522')
('Gracz1', 'Remove tile in cell 523')
('Gracz1', 'Remove tile in cell 524')
('Gracz1', 'Remove tile in cell 525')
('Gracz1', 'Remove tile in cell 526')
('Gracz1', 'Remove tile in cell 527')
('Gracz1', 'Remove tile in cell 528')
('Gracz1', 'Remove tile in cell 529')
('Gracz1', 'Remove tile in cell 60')
('Gracz1', 'Remove tile in cell 61')
('Gracz1', 'Remove tile in cell 62')
('Gracz1', 'Remove tile in cell 63')
('Gracz1', 'Remove tile in cell 64')
('Gracz1', 'Remove tile in cell 65')
('Gracz1', 'Remove tile in cell 66')
('Gracz1', 'Remove tile in cell 67')
('Gracz1', 'Remove tile in cell 68')
('Gracz1', 'Remove tile in cell 69')
('Gracz1', 'Remove tile in cell 610')
('Gracz1', 'Remove tile in cell 611')
('Gracz1', 'Remove tile in cell 612')
('Gracz1', 'Remove tile in cell 613')
('Gracz1', 'Remove tile in cell 614')
('Gracz1', 'Remove tile in cell 615')
('Gracz1', 'Remove tile in cell 616')
('Gracz1', 'Remove tile in cell 617')
('Gracz1', 'Remove tile in cell 618')
('Gracz1', 'Remove tile in cell 619')
('Gracz1', 'Remove tile in cell 620')
('Gracz1', 'Remove tile in cell 621')
('Gracz1', 'Remove tile in cell 622')
('Gracz1', 'Remove tile in cell 623')
('Gracz1', 'Remove tile in cell 624')
('Gracz1', 'Remove tile in cell 625')
('Gracz1', 'Remove tile in cell 626')
('Gracz1', 'Remove tile in cell 627')
('Gracz1', 'Remove tile in cell 628')
('Gracz1', 'Remove tile in cell 629')
('Gracz1', 'Remove tile in cell 70')
('Gracz1', 'Remove tile in cell 71')
('Gracz1', 'Remove tile in cell 72')
('Gracz1', 'Remove tile in cell 73')
('Gracz1', 'Remove tile in cell 74')
('Gracz1', 'Remove tile in cell 75')
('Gracz1', 'Remove tile in cell 76')
('Gracz1', 'Remove tile in cell 77')
('Gracz1', 'Remove tile in cell 78')
('Gracz1', 'Remove tile in cell 79')
('Gracz1', 'Remove tile in cell 710')
('Gracz1', 'Remove tile in cell 711')
('Gracz1', 'Remove tile in cell 712')
('Gracz1', 'Remove tile in cell 713')
('Gracz1', 'Remove tile in cell 714')
('Gracz1', 'Remove tile in cell 715')
('Gracz1', 'Remove tile in cell 716')
('Gracz1', 'Remove tile in cell 717')
('Gracz1', 'Remove tile in cell 718')
('Gracz1', 'Remove tile in cell 719')
('Gracz1', 'Remove tile in cell 720')
('Gracz1', 'Remove tile in cell 721')
('Gracz1', 'Remove tile in cell 722')
('Gracz1', 'Remove tile in cell 723')
('Gracz1', 'Remove tile in cell 724')
('Gracz1', 'Remove tile in cell 725')
('Gracz1', 'Remove tile in cell 726')
('Gracz1', 'Remove tile in cell 727')
('Gracz1', 'Remove tile in cell 728')
('Gracz1', 'Remove tile in cell 729')
('Gracz1', 'Remove tile in cell 00')
('Gracz1', 'Remove tile in cell 01')
('Gracz1', 'Remove tile in cell 02')
('Gracz1', 'Remove tile in cell 03')
('Gracz1', 'Remove tile in cell 04')
('Gracz1', 'Remove tile in cell 05')
('Gracz1', 'Remove tile in cell 06')
('Gracz1', 'Remove tile in cell 07')
('Gracz1', 'Remove tile in cell 08')
('Gracz1', 'Remove tile in cell 09')
('Gracz1', 'Remove tile in cell 010')
('Gracz1', 'Remove tile in cell 011')
('Gracz1', 'Remove tile in cell 012')
('Gracz1', 'Remove tile in cell 013')
('Gracz1', 'Remove tile in cell 014')
('Gracz1', 'Remove tile in cell 10')
('Gracz1', 'Remove tile in cell 11')
('Gracz1', 'Remove tile in cell 12')
('Gracz1', 'Remove tile in cell 13')
('Gracz1', 'Remove tile in cell 14')
('Gracz1', 'Remove tile in cell 15')
('Gracz1', 'Remove tile in cell 16')
('Gracz1', 'Remove tile in cell 17')
('Gracz1', 'Remove tile in cell 18')
('Gracz1', 'Remove tile in cell 19')
('Gracz1', 'Remove tile in cell 110')
('Gracz1', 'Remove tile in cell 111')
('Gracz1', 'Remove tile in cell 112')
('Gracz1', 'Remove tile in cell 113')
('Gracz1', 'Remove tile in cell 114')
('Gracz1', 'Remove tile in cell 00')
('Gracz1', 'Remove tile in cell 01')
('Gracz1', 'Remove tile in cell 02')
('Gracz1', 'Remove tile in cell 03')
('Gracz1', 'Remove tile in cell 04')
('Gracz1', 'Remove tile in cell 05')
('Gracz1', 'Remove tile in cell 06')
('Gracz1', 'Remove tile in cell 07')
('Gracz1', 'Remove tile in cell 08')
('Gracz1', 'Remove tile in cell 09')
('Gracz1', 'Remove tile in cell 010')
('Gracz1', 'Remove tile in cell 011')
('Gracz1', 'Remove tile in cell 012')
('Gracz1', 'Remove tile in cell 013')
('Gracz1', 'Remove tile in cell 014')
('Gracz1', 'Remove tile in cell 10')
('Gracz1', 'Remove tile in cell 11')
('Gracz1', 'Remove tile in cell 12')
('Gracz1', 'Remove tile in cell 13')
('Gracz1', 'Remove tile in cell 14')
('Gracz1', 'Remove tile in cell 15')
('Gracz1', 'Remove tile in cell 16')
('Gracz1', 'Remove tile in cell 17')
('Gracz1', 'Remove tile in cell 18')
('Gracz1', 'Remove tile in cell 19')
('Gracz1', 'Remove tile in cell 110')
('Gracz1', 'Remove tile in cell 111')
('Gracz1', 'Remove tile in cell 112')
('Gracz1', 'Remove tile in cell 113')
('Gracz1', 'Remove tile in cell 114')
('Gracz1', 'Remove tile in cell 00')
('Gracz1', 'Remove tile in cell 01')
('Gracz1', 'Remove tile in cell 02')
('Gracz1', 'Remove tile in cell 03')
('Gracz1', 'Remove tile in cell 04')
('Gracz1', 'Remove tile in cell 05')
('Gracz1', 'Remove tile in cell 06')
('Gracz1', 'Remove tile in cell 07')
('Gracz1', 'Remove tile in cell 08')
('Gracz1', 'Remove tile in cell 09')
('Gracz1', 'Remove tile in cell 010')
('Gracz1', 'Remove tile in cell 011')
('Gracz1', 'Remove tile in cell 012')
('Gracz1', 'Remove tile in cell 013')
('Gracz1', 'Remove tile in cell 014')
('Gracz1', 'Remove tile in cell 10')
('Gracz1', 'Remove tile in cell 11')
('Gracz1', 'Remove tile in cell 12')
('Gracz1', 'Remove tile in cell 13')
('Gracz1', 'Remove tile in cell 14')
('Gracz1', 'Remove tile in cell 15')
('Gracz1', 'Remove tile in cell 16')
('Gracz1', 'Remove tile in cell 17')
('Gracz1', 'Remove tile in cell 18')
('Gracz1', 'Remove tile in cell 19')
('Gracz1', 'Remove tile in cell 110')
('Gracz1', 'Remove tile in cell 111')
('Gracz1', 'Remove tile in cell 112')
('Gracz1', 'Remove tile in cell 113')
('Gracz1', 'Remove tile in cell 114')
('Gracz1', 'Remove tile in cell 00')
('Gracz1', 'Remove tile in cell 01')
('Gracz1', 'Remove tile in cell 02')
('Gracz1', 'Remove tile in cell 03')
('Gracz1', 'Remove tile in cell 04')
('Gracz1', 'Remove tile in cell 05')
('Gracz1', 'Remove tile in cell 06')
('Gracz1', 'Remove tile in cell 07')
('Gracz1', 'Remove tile in cell 08')
('Gracz1', 'Remove tile in cell 09')
('Gracz1', 'Remove tile in cell 010')
('Gracz1', 'Remove tile in cell 011')
('Gracz1', 'Remove tile in cell 012')
('Gracz1', 'Remove tile in cell 013')
('Gracz1', 'Remove tile in cell 014')
('Gracz1', 'Remove tile in cell 10')
('Gracz1', 'Remove tile in cell 11')
('Gracz1', 'Remove tile in cell 12')
('Gracz1', 'Remove tile in cell 13')
('Gracz1', 'Remove tile in cell 14')
('Gracz1', 'Remove tile in cell 15')
('Gracz1', 'Remove tile in cell 16')
('Gracz1', 'Remove tile in cell 17')
('Gracz1', 'Remove tile in cell 18')
('Gracz1', 'Remove tile in cell 19')
('Gracz1', 'Remove tile in cell 110')
('Gracz1', 'Remove tile in cell 111')
('Gracz1', 'Remove tile in cell 112')
('Gracz1', 'Remove tile in cell 113')
('Gracz1', 'Remove tile in cell 114')
('Rozdawanie plytek', 'Jest to : yellow4')
('Gracz1', 'Cell 00 add tile yellow 4')
('Rozdawanie plytek', 'Jest to : blue10')
('Gracz1', 'Cell 01 add tile blue 10')
('Rozdawanie plytek', 'Jest to : blue12')
('Gracz1', 'Cell 02 add tile blue 12')
('Rozdawanie plytek', 'Jest to : red13')
('Gracz1', 'Cell 03 add tile red 13')
('Rozdawanie plytek', 'Jest to : red13')
('Gracz1', 'Cell 04 add tile red 13')
('Rozdawanie plytek', 'Jest to : black9')
('Gracz1', 'Cell 05 add tile black 9')
('Rozdawanie plytek', 'Jest to : yellow3')
('Gracz1', 'Cell 06 add tile yellow 3')
('Rozdawanie plytek', 'Jest to : blue3')
('Gracz1', 'Cell 07 add tile blue 3')
('Rozdawanie plytek', 'Jest to : yellow13')
('Gracz1', 'Cell 08 add tile yellow 13')
('Rozdawanie plytek', 'Jest to : blue10')
('Gracz1', 'Cell 09 add tile blue 10')
('Rozdawanie plytek', 'Jest to : black4')
('Gracz1', 'Cell 010 add tile black 4')
('Rozdawanie plytek', 'Jest to : black11')
('Gracz1', 'Cell 011 add tile black 11')
('Rozdawanie plytek', 'Jest to : black1')
('Gracz1', 'Cell 012 add tile black 1')
('Rozdawanie plytek', 'Jest to : yellow5')
('Gracz1', 'Cell 013 add tile yellow 5')
('Rozdawanie plytek', 'Jest to : red6')
('Gracz1', 'Cell 014 add tile red 6')
('Rozdawanie plytek', 'Jest to : blue9')
('Gracz1', 'Cell 00 add tile blue 9')
('Rozdawanie plytek', 'Jest to : red1')
('Gracz1', 'Cell 01 add tile red 1')
('Rozdawanie plytek', 'Jest to : black2')
('Gracz1', 'Cell 02 add tile black 2')
('Rozdawanie plytek', 'Jest to : yellow11')
('Gracz1', 'Cell 03 add tile yellow 11')
('Rozdawanie plytek', 'Jest to : yellow1')
('Gracz1', 'Cell 04 add tile yellow 1')
('Rozdawanie plytek', 'Jest to : black4')
('Gracz1', 'Cell 05 add tile black 4')
('Rozdawanie plytek', 'Jest to : red2')
('Gracz1', 'Cell 06 add tile red 2')
('Rozdawanie plytek', 'Jest to : blue11')
('Gracz1', 'Cell 07 add tile blue 11')
('Rozdawanie plytek', 'Jest to : blue6')
('Gracz1', 'Cell 08 add tile blue 6')
('Rozdawanie plytek', 'Jest to : blue12')
('Gracz1', 'Cell 09 add tile blue 12')
('Rozdawanie plytek', 'Jest to : yellow5')
('Gracz1', 'Cell 010 add tile yellow 5')
('Rozdawanie plytek', 'Jest to : yellow4')
('Gracz1', 'Cell 011 add tile yellow 4')
('Rozdawanie plytek', 'Jest to : black13')
('Gracz1', 'Cell 012 add tile black 13')
('Rozdawanie plytek', 'Jest to : blue5')
('Gracz1', 'Cell 013 add tile blue 5')
('Rozdawanie plytek', 'Jest to : blue2')
('Gracz1', 'Cell 014 add tile blue 2')
('Rozdawanie plytek', 'Jest to : blue2')
('Gracz1', 'Cell 00 add tile blue 2')
('Rozdawanie plytek', 'Jest to : yellow2')
('Gracz1', 'Cell 01 add tile yellow 2')
('Rozdawanie plytek', 'Jest to : blue7')
('Gracz1', 'Cell 02 add tile blue 7')
('Rozdawanie plytek', 'Jest to : black8')
('Gracz1', 'Cell 03 add tile black 8')
('Rozdawanie plytek', 'Jest to : black10')
('Gracz1', 'Cell 04 add tile black 10')
('Rozdawanie plytek', 'Jest to : black12')
('Gracz1', 'Cell 05 add tile black 12')
('Rozdawanie plytek', 'Jest to : black6')
('Gracz1', 'Cell 06 add tile black 6')
('Rozdawanie plytek', 'Jest to : red5')
('Gracz1', 'Cell 07 add tile red 5')
('Rozdawanie plytek', 'Jest to : yellow10')
('Gracz1', 'Cell 08 add tile yellow 10')
('Rozdawanie plytek', 'Jest to : yellow11')
('Gracz1', 'Cell 09 add tile yellow 11')
('Rozdawanie plytek', 'Jest to : red11')
('Gracz1', 'Cell 010 add tile red 11')
('Rozdawanie plytek', 'Jest to : black1')
('Gracz1', 'Cell 011 add tile black 1')
('Rozdawanie plytek', 'Jest to : red7')
('Gracz1', 'Cell 012 add tile red 7')
('Rozdawanie plytek', 'Jest to : yellow13')
('Gracz1', 'Cell 013 add tile yellow 13')
('Rozdawanie plytek', 'Jest to : red7')
('Gracz1', 'Cell 014 add tile red 7')
('Rozdawanie plytek', 'Jest to : yellow8')
('Gracz1', 'Cell 00 add tile yellow 8')
('Rozdawanie plytek', 'Jest to : yellow10')
('Gracz1', 'Cell 01 add tile yellow 10')
('Rozdawanie plytek', 'Jest to : yellow9')
('Gracz1', 'Cell 02 add tile yellow 9')
('Rozdawanie plytek', 'Jest to : blue1')
('Gracz1', 'Cell 03 add tile blue 1')
('Rozdawanie plytek', 'Jest to : black8')
('Gracz1', 'Cell 04 add tile black 8')
('Rozdawanie plytek', 'Jest to : blue11')
('Gracz1', 'Cell 05 add tile blue 11')
('Rozdawanie plytek', 'Jest to : yellow8')
('Gracz1', 'Cell 06 add tile yellow 8')
('Rozdawanie plytek', 'Jest to : red11')
('Gracz1', 'Cell 07 add tile red 11')
('Rozdawanie plytek', 'Jest to : black9')
('Gracz1', 'Cell 08 add tile black 9')
('Rozdawanie plytek', 'Jest to : black10')
('Gracz1', 'Cell 09 add tile black 10')
('Rozdawanie plytek', 'Jest to : black3')
('Gracz1', 'Cell 010 add tile black 3')
('Rozdawanie plytek', 'Jest to : blue5')
('Gracz1', 'Cell 011 add tile blue 5')
('Rozdawanie plytek', 'Jest to : blue7')
('Gracz1', 'Cell 012 add tile blue 7')
('Rozdawanie plytek', 'Jest to : red4')
('Gracz1', 'Cell 013 add tile red 4')
('Rozdawanie plytek', 'Jest to : black13')
('Gracz1', 'Cell 014 add tile black 13')
('Gracz1', 'Twoja tura')
